GID,group_name,description,owner_PID,banner_url,max_members,created_at,is_public
GR017,Strategy Guild 17,"Player group for practice games, tournaments, and chat coordination.",P004,https://cdn.gamehub.example/groups/GR017.png,50,2025-11-25 03:45:35,TRUE
GR018,Blitz Guild 18,"Player group for practice games, tournaments, and chat coordination.",P061,https://cdn.gamehub.example/groups/GR018.png,100,2026-02-15 05:19:42,FALSE
GR019,Global Guild 19,"Player group for practice games, tournaments, and chat coordination.",P063,https://cdn.gamehub.example/groups/GR019.png,100,2025-06-22 06:54:52,FALSE
GR020,Casual Guild 20,"Player group for practice games, tournaments, and chat coordination.",P024,https://cdn.gamehub.example/groups/GR020.png,250,2026-01-24 10:08:46,TRUE
GR021,Blitz Guild 21,"Player group for practice games, tournaments, and chat coordination.",P058,https://cdn.gamehub.example/groups/GR021.png,100,2026-03-20 01:21:20,FALSE
GR022,Strategy Guild 22,"Player group for practice games, tournaments, and chat coordination.",P034,https://cdn.gamehub.example/groups/GR022.png,100,2025-05-30 09:02:28,TRUE
GR023,Global Guild 23,"Player group for practice games, tournaments, and chat coordination.",P097,https://cdn.gamehub.example/groups/GR023.png,25,2025-06-18 01:42:00,FALSE
GR024,Elite Guild 24,"Player group for practice games, tournaments, and chat coordination.",P070,https://cdn.gamehub.example/groups/GR024.png,50,2025-05-29 20:49:09,FALSE
GR025,Elite Guild 25,"Player group for practice games, tournaments, and chat coordination.",P067,https://cdn.gamehub.example/groups/GR025.png,250,2025-10-12 12:41:08,FALSE
GR026,Blitz Guild 26,"Player group for practice games, tournaments, and chat coordination.",P039,https://cdn.gamehub.example/groups/GR026.png,250,2025-05-09 11:23:09,TRUE
GR027,Elite Guild 27,"Player group for practice games, tournaments, and chat coordination.",P016,https://cdn.gamehub.example/groups/GR027.png,50,2025-08-20 08:10:38,TRUE
GR028,Strategy Guild 28,"Player group for practice games, tournaments, and chat coordination.",P025,https://cdn.gamehub.example/groups/GR028.png,25,2026-03-07 08:16:48,TRUE
GR029,Elite Guild 29,"Player group for practice games, tournaments, and chat coordination.",P088,https://cdn.gamehub.example/groups/GR029.png,50,2025-08-05 08:39:01,FALSE
GR030,Global Guild 30,"Player group for practice games, tournaments, and chat coordination.",P041,https://cdn.gamehub.example/groups/GR030.png,25,2025-06-19 02:18:32,FALSE
GR031,Elite Guild 31,"Player group for practice games, tournaments, and chat coordination.",P072,https://cdn.gamehub.example/groups/GR031.png,100,2025-11-13 00:45:23,FALSE
GR032,Global Guild 32,"Player group for practice games, tournaments, and chat coordination.",P002,https://cdn.gamehub.example/groups/GR032.png,250,2025-07-08 21:30:11,FALSE
GR033,Strategy Guild 33,"Player group for practice games, tournaments, and chat coordination.",P020,https://cdn.gamehub.example/groups/GR033.png,25,2025-07-03 13:10:32,TRUE
GR034,Weekend Guild 34,"Player group for practice games, tournaments, and chat coordination.",P037,https://cdn.gamehub.example/groups/GR034.png,100,2026-02-25 15:32:43,FALSE
GR035,Global Guild 35,"Player group for practice games, tournaments, and chat coordination.",P050,https://cdn.gamehub.example/groups/GR035.png,250,2026-04-14 22:13:41,TRUE
GR036,Casual Guild 36,"Player group for practice games, tournaments, and chat coordination.",P023,https://cdn.gamehub.example/groups/GR036.png,250,2025-08-02 05:36:29,FALSE
GR037,Elite Guild 37,"Player group for practice games, tournaments, and chat coordination.",P005,https://cdn.gamehub.example/groups/GR037.png,100,2025-10-14 00:47:56,TRUE
GR038,Elite Guild 38,"Player group for practice games, tournaments, and chat coordination.",P096,https://cdn.gamehub.example/groups/GR038.png,100,2026-01-26 18:47:52,TRUE
GR039,Casual Guild 39,"Player group for practice games, tournaments, and chat coordination.",P044,https://cdn.gamehub.example/groups/GR039.png,100,2025-11-16 06:02:25,FALSE
GR040,Global Guild 40,"Player group for practice games, tournaments, and chat coordination.",P090,https://cdn.gamehub.example/groups/GR040.png,25,2025-10-06 13:26:03,TRUE
GR041,Global Guild 41,"Player group for practice games, tournaments, and chat coordination.",P039,https://cdn.gamehub.example/groups/GR041.png,250,2025-12-17 17:25:08,FALSE
GR042,Elite Guild 42,"Player group for practice games, tournaments, and chat coordination.",P094,https://cdn.gamehub.example/groups/GR042.png,25,2025-09-05 11:22:30,FALSE
GR043,Elite Guild 43,"Player group for practice games, tournaments, and chat coordination.",P028,https://cdn.gamehub.example/groups/GR043.png,250,2026-05-18 16:17:03,FALSE
GR044,Weekend Guild 44,"Player group for practice games, tournaments, and chat coordination.",P008,https://cdn.gamehub.example/groups/GR044.png,50,2025-06-02 11:11:20,FALSE
GR045,Weekend Guild 45,"Player group for practice games, tournaments, and chat coordination.",P091,https://cdn.gamehub.example/groups/GR045.png,250,2025-07-26 20:41:45,TRUE
GR046,Strategy Guild 46,"Player group for practice games, tournaments, and chat coordination.",P023,https://cdn.gamehub.example/groups/GR046.png,50,2025-05-27 06:15:17,TRUE
GR047,Elite Guild 47,"Player group for practice games, tournaments, and chat coordination.",P005,https://cdn.gamehub.example/groups/GR047.png,25,2026-01-17 09:52:42,TRUE
GR048,Casual Guild 48,"Player group for practice games, tournaments, and chat coordination.",P036,https://cdn.gamehub.example/groups/GR048.png,250,2026-05-09 20:14:17,FALSE
GR049,Blitz Guild 49,"Player group for practice games, tournaments, and chat coordination.",P082,https://cdn.gamehub.example/groups/GR049.png,25,2025-10-17 10:03:10,FALSE
GR050,Weekend Guild 50,"Player group for practice games, tournaments, and chat coordination.",P063,https://cdn.gamehub.example/groups/GR050.png,250,2025-08-28 10:23:59,FALSE
