NID,recipient_PID,type,ref_id,content,is_read,created_at
N0029,P091,friend_request,P095,New friend request notification.,TRUE,2026-05-17 02:55:09
N0030,P037,friend_request,P071,New friend request notification.,FALSE,2026-04-19 08:50:16
N0031,P078,game_result,G015,New game result notification.,TRUE,2026-04-24 13:49:57
N0032,P001,group_invite,GR037,New group invite notification.,FALSE,2026-04-10 23:55:49
N0033,P014,group_invite,GR033,New group invite notification.,TRUE,2026-04-26 22:14:04
N0034,P015,game_result,G022,New game result notification.,FALSE,2026-05-15 00:44:44
N0035,P074,rank_update,T055,New rank update notification.,FALSE,2026-05-06 04:47:31
N0036,P073,group_invite,GR025,New group invite notification.,FALSE,2026-05-09 21:04:36
N0037,P044,tournament_invite,T049,New tournament invite notification.,FALSE,2026-05-05 14:06:55
N0038,P004,group_invite,GR038,New group invite notification.,FALSE,2026-04-08 03:27:44
N0039,P049,game_result,G005,New game result notification.,TRUE,2026-05-05 08:39:38
N0040,P030,chat_message,,New chat message notification.,FALSE,2026-04-22 12:30:39
N0041,P069,game_result,G034,New game result notification.,TRUE,2026-05-06 12:30:46
N0042,P037,game_result,G016,New game result notification.,TRUE,2026-04-21 20:47:16
N0043,P096,chat_message,,New chat message notification.,FALSE,2026-04-06 04:34:47
N0044,P061,rank_update,GT023,New rank update notification.,FALSE,2026-04-19 15:54:05
N0045,P074,tournament_invite,T058,New tournament invite notification.,FALSE,2026-04-11 08:57:33
N0046,P088,chat_message,,New chat message notification.,TRUE,2026-04-26 17:22:34
N0047,P026,chat_message,,New chat message notification.,TRUE,2026-05-08 04:50:13
N0048,P034,tournament_invite,T056,New tournament invite notification.,TRUE,2026-04-13 15:02:46
N0049,P032,tournament_invite,T054,New tournament invite notification.,FALSE,2026-04-10 01:44:52
N0050,P011,friend_request,P016,New friend request notification.,FALSE,2026-05-02 07:09:36
N0051,P070,friend_request,P098,New friend request notification.,TRUE,2026-05-13 16:00:14
N0052,P080,group_invite,GR024,New group invite notification.,FALSE,2026-04-26 09:37:05
N0053,P063,rank_update,GT036,New rank update notification.,TRUE,2026-05-09 14:25:48
N0054,P051,rank_update,GT036,New rank update notification.,TRUE,2026-05-08 22:00:38
N0055,P007,rank_update,GT017,New rank update notification.,FALSE,2026-04-25 17:16:59
N0056,P065,rank_update,GT005,New rank update notification.,FALSE,2026-04-21 14:42:48
N0057,P100,chat_message,,New chat message notification.,TRUE,2026-04-24 16:40:19
N0058,P067,friend_request,P090,New friend request notification.,FALSE,2026-04-17 19:45:37
N0059,P002,chat_message,,New chat message notification.,TRUE,2026-05-05 05:23:13
N0060,P075,tournament_invite,T025,New tournament invite notification.,TRUE,2026-04-18 07:09:38
N0061,P034,game_result,G040,New game result notification.,TRUE,2026-04-29 03:07:21
N0062,P035,game_result,G016,New game result notification.,FALSE,2026-05-02 06:17:40
N0063,P024,game_result,G024,New game result notification.,FALSE,2026-04-23 01:55:45
N0064,P090,tournament_invite,T027,New tournament invite notification.,FALSE,2026-04-20 05:20:48
N0065,P058,group_invite,GR018,New group invite notification.,TRUE,2026-04-30 05:44:26
N0066,P088,tournament_invite,T037,New tournament invite notification.,TRUE,2026-05-12 00:36:03
N0067,P035,friend_request,P093,New friend request notification.,TRUE,2026-04-29 11:01:04
N0068,P026,group_invite,GR025,New group invite notification.,TRUE,2026-05-11 08:06:40
N0069,P020,chat_message,,New chat message notification.,FALSE,2026-05-11 14:40:18
N0070,P054,friend_request,P023,New friend request notification.,FALSE,2026-04-09 00:40:15
N0071,P067,chat_message,,New chat message notification.,FALSE,2026-05-10 14:58:45
N0072,P033,group_invite,GR020,New group invite notification.,TRUE,2026-04-21 20:10:18
N0073,P021,friend_request,P089,New friend request notification.,TRUE,2026-04-12 23:02:15
N0074,P081,game_result,G031,New game result notification.,TRUE,2026-04-24 08:07:07
N0075,P043,chat_message,,New chat message notification.,FALSE,2026-04-20 00:33:04
N0076,P072,game_result,G036,New game result notification.,FALSE,2026-04-19 04:57:08
N0077,P016,friend_request,P053,New friend request notification.,FALSE,2026-05-14 14:33:27
N0078,P078,chat_message,,New chat message notification.,TRUE,2026-04-30 12:05:00
N0079,P084,rank_update,T034,New rank update notification.,TRUE,2026-05-10 09:07:33
N0080,P042,game_result,G023,New game result notification.,FALSE,2026-05-10 02:38:33
N0081,P058,chat_message,,New chat message notification.,TRUE,2026-04-20 23:58:47
N0082,P060,rank_update,GT037,New rank update notification.,TRUE,2026-05-14 15:35:36
N0083,P044,tournament_invite,T041,New tournament invite notification.,FALSE,2026-05-03 03:29:12
N0084,P052,rank_update,T024,New rank update notification.,TRUE,2026-04-06 08:10:19
N0085,P030,tournament_invite,T022,New tournament invite notification.,FALSE,2026-04-17 21:11:23
N0086,P038,chat_message,,New chat message notification.,FALSE,2026-05-01 21:19:28
N0087,P051,chat_message,,New chat message notification.,FALSE,2026-05-15 14:14:09
N0088,P047,group_invite,GR050,New group invite notification.,FALSE,2026-04-22 14:19:55
N0089,P003,tournament_invite,T012,New tournament invite notification.,TRUE,2026-05-07 19:54:58
N0090,P033,tournament_invite,T043,New tournament invite notification.,TRUE,2026-04-12 17:20:00
N0091,P014,tournament_invite,T026,New tournament invite notification.,TRUE,2026-04-05 14:19:24
N0092,P007,group_invite,GR036,New group invite notification.,TRUE,2026-05-09 22:12:10
N0093,P098,group_invite,GR034,New group invite notification.,TRUE,2026-04-07 13:05:07
N0094,P020,game_result,G040,New game result notification.,TRUE,2026-05-04 06:56:07
N0095,P030,group_invite,GR020,New group invite notification.,TRUE,2026-05-08 07:21:30
N0096,P081,game_result,G029,New game result notification.,TRUE,2026-04-08 20:56:56
N0097,P022,rank_update,T058,New rank update notification.,TRUE,2026-04-04 04:57:30
N0098,P046,chat_message,,New chat message notification.,FALSE,2026-05-14 10:54:50
N0099,P070,group_invite,GR030,New group invite notification.,FALSE,2026-04-29 03:06:05
N0100,P090,group_invite,GR009,New group invite notification.,TRUE,2026-05-01 04:22:04
