message_ID,CID,sender_PID,text_content,media_url,sent_at,is_read,reply_to
MSG0056,C028,P094,Your opening strategy was strong.,,2025-08-06 22:03:04,TRUE,
MSG0057,C029,P016,Can you invite me to your group?,,2026-01-24 09:28:05,TRUE,
MSG0058,C029,P033,"Good game, want a rematch?",,2026-01-24 10:12:05,FALSE,
MSG0059,C030,P047,"Good game, want a rematch?",,2026-04-06 10:07:44,FALSE,
MSG0060,C030,P007,I joined the tournament lobby.,https://cdn.gamehub.example/messages/MSG0060.png,2026-04-06 11:22:44,TRUE,
MSG0061,C031,P082,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0061.png,2025-11-24 12:46:05,TRUE,
MSG0062,C031,P056,I joined the tournament lobby.,,2025-11-24 13:54:05,TRUE,MSG0061
MSG0063,C032,P075,Can you invite me to your group?,,2025-12-22 05:17:02,FALSE,
MSG0064,C032,P016,That endgame was close!,,2025-12-22 06:11:02,FALSE,MSG0063
MSG0065,C033,P006,Your opening strategy was strong.,,2026-04-15 18:21:11,FALSE,
MSG0066,C033,P075,"Good game, want a rematch?",,2026-04-15 19:20:11,TRUE,
MSG0067,C034,P099,Your opening strategy was strong.,,2025-10-26 02:20:34,FALSE,
MSG0068,C034,P012,That endgame was close!,,2025-10-26 04:03:34,FALSE,MSG0067
MSG0069,C035,P088,That endgame was close!,,2025-11-29 22:24:21,TRUE,
MSG0070,C035,P080,Let's practice before the next cup.,,2025-11-29 22:53:21,FALSE,
MSG0071,C036,P046,Can you invite me to your group?,,2025-09-19 06:42:25,TRUE,
MSG0072,C036,P083,I joined the tournament lobby.,,2025-09-19 08:06:25,TRUE,
MSG0073,C037,P017,Your opening strategy was strong.,,2025-10-19 20:46:05,TRUE,
MSG0074,C037,P063,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0074.png,2025-10-19 22:34:05,TRUE,
MSG0075,C038,P097,Can you invite me to your group?,https://cdn.gamehub.example/messages/MSG0075.png,2026-01-07 21:14:23,TRUE,
MSG0076,C038,P045,Can you invite me to your group?,,2026-01-07 22:56:23,TRUE,MSG0075
MSG0077,C039,P089,I joined the tournament lobby.,,2025-12-07 14:26:46,FALSE,
MSG0078,C039,P049,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0078.png,2025-12-07 15:14:46,FALSE,
MSG0079,C040,P006,That endgame was close!,https://cdn.gamehub.example/messages/MSG0079.png,2026-04-21 22:18:53,TRUE,
MSG0080,C040,P063,I joined the tournament lobby.,,2026-04-21 22:51:53,TRUE,
MSG0081,C041,P070,Can you invite me to your group?,,2026-01-27 20:04:18,TRUE,
MSG0082,C041,P090,Can you invite me to your group?,,2026-01-27 21:41:18,TRUE,MSG0081
MSG0083,C042,P070,That endgame was close!,,2025-11-24 05:00:27,FALSE,
MSG0084,C042,P045,That endgame was close!,,2025-11-24 05:33:27,FALSE,MSG0083
MSG0085,C043,P077,I joined the tournament lobby.,,2025-09-21 18:35:32,TRUE,
MSG0086,C043,P071,Let's practice before the next cup.,,2025-09-21 18:46:32,FALSE,
MSG0087,C044,P058,I joined the tournament lobby.,,2025-10-31 18:40:35,TRUE,
MSG0088,C044,P038,"Good game, want a rematch?",,2025-10-31 19:46:35,FALSE,
MSG0089,C045,P001,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0089.png,2026-03-26 06:55:02,FALSE,
MSG0090,C045,P100,"Good game, want a rematch?",,2026-03-26 08:50:02,FALSE,
MSG0091,C046,P024,Let's practice before the next cup.,,2026-03-19 04:25:42,TRUE,
MSG0092,C046,P003,Can you invite me to your group?,,2026-03-19 05:33:42,TRUE,
MSG0093,C047,P031,I joined the tournament lobby.,,2026-04-27 12:19:25,TRUE,
MSG0094,C047,P042,Can you invite me to your group?,,2026-04-27 14:06:25,TRUE,MSG0093
MSG0095,C048,P025,Let's practice before the next cup.,,2026-04-12 20:11:39,FALSE,
MSG0096,C048,P068,Let's practice before the next cup.,,2026-04-12 20:58:39,TRUE,
MSG0097,C049,P079,I joined the tournament lobby.,,2025-11-23 18:56:01,FALSE,
MSG0098,C049,P037,"Good game, want a rematch?",,2025-11-23 19:20:01,TRUE,
MSG0099,C050,P013,That endgame was close!,,2026-04-03 09:23:34,FALSE,
MSG0100,C050,P067,Your opening strategy was strong.,,2026-04-03 09:55:34,FALSE,
