move_ID,game_ID,actor_PID,move_no,move_notation,move_time
M0088,G044,P057,2,Qh5,2026-04-03 12:24:55
M0089,G045,P045,1,Qh5,2026-03-20 17:36:49
M0090,G045,P091,2,c5,2026-03-20 17:39:49
M0091,G046,P027,1,pass,2026-05-30 20:41:29
M0092,G046,P008,2,castle,2026-05-30 20:40:29
M0093,G047,P042,1,block,2026-04-13 16:25:26
M0094,G047,P091,2,Nf3,2026-04-13 16:25:26
M0095,G048,P087,1,capture,2026-05-07 10:11:38
M0096,G048,P013,2,c5,2026-05-07 10:20:38
M0097,G049,P090,1,pass,2026-03-16 21:33:37
M0098,G049,P017,2,pass,2026-03-16 21:34:37
M0099,G050,P063,1,capture,2026-05-07 22:28:43
M0100,G050,P019,2,d4,2026-05-07 22:29:43
